text,true_label
"I took aspirin and my headache is gone, feel great!",0
"After the vaccine I developed a severe rash on my arm.",1
"Can I take ibuprofen with my current blood pressure meds?",0
"Ever since starting Lexapro, my insomnia has been unbearable.",1
"The doctor prescribed antibiotics for the infection.",0
"My chest pain got worse after taking the new heart medication.",1
"Maine Crocin li aur chakkar aa raha hai",1
"Dolo 650 se koi side effect nahi, sab theek hai",0
"Azithromycin khane ke baad bohot nausea feel ho raha hai",1
"Aaj mausam achha hai, no meds needed",0
"Paracetamol kazhichappol nenju vedana (നെഞ്ചു വേദന) vannu",1
"Amoxicillin valare nallathaanu, no issues",0
"Ibuprofen lene ke baad mere pet mein bohot dard (pain) hai",1
"Best medicine for headache is just sleeping",0
"Got terrible swelling after using Atorvastatin yesterday",1
"My doctor said the Crocin might cause dizziness, but I feel fine.",0
"Started Metformin last week and I've had terrible diarrhea every day.",1
"Is it safe to give my child Cetirizine for a cold?",0
"Took Pantoprazole before breakfast and my stomach pain disappeared.",0
"Ciplox ear drops caused intense burning and itching in my ear.",1
"Dolo lene se bukhar utar gaya",0
"Aspirin gives me severe stomach ulcers if I take it daily.",1
"Need a good remedy for hair loss.",0
"Omeprazole makes me feel very weak and dizzy.",1
"Cetirizine makes me so sleepy I can't even work.",1
"Crocin 650 is always in my travel bag just in case.",0
" தலைவலிக்கு பாராசிட்டமால் சாப்பிட்டேன், இப்போது குமட்டலாக (nausea) உள்ளது.",1
"Ibuprofen theek hai, par mujhe azithromycin suit nahi karta.",0
"Amoxicillin valare nallathaanu, fever maari",0
"Atorvastatin se mere muscles mein bohot pain ho raha hai.",1
"Will Paracetamol interact with my diabetes medicine?",0
"Ever since I took that cough syrup, my heart has been racing.",1
"Dolo 650 reduced my body ache completely.",0
"Azithromycin caused terrible rash all over my neck.",1
"Pantoprazole subah khali pet lena best hai.",0
"Mera sir dard theek ho gaya crocin se.",0
"Took Cetirizine for allergies, but now my throat is extremely dry.",1
"Can someone recommend a good dermatologist in Mumbai?",0
"I had severe vomiting after taking the prescribed Metformin.",1
"Doctor suggested Ciplox for the eye infection.",0
"I think Ibuprofen might be causing my ankles to swell up.",1
"No side effects from the COVID booster shot for me!",0
"Paracetamol kazhichappol okkanam (ഓക്കാനം) thonni.",1
"Just bought some Vitamin C tablets from the pharmacy.",0
"Aspirin triggered my asthma attack last night.",1
"Crocin best hai fever ke liye, no side effects.",0
"My mother got a severe skin rash from Omeprazole.",1
"Dolo khane ke baad se chakkar (dizziness) aa raha hai.",1
"How many hours should I wait between taking two Dolo 650s?",0
"Ibuprofen gave me a terrible stomach upset today.",1
"Lexapro withdrawal is giving me brain zaps and headaches.",1
"Just drank ginger tea for my sore throat, feeling better.",0
"Metformin kazhichappol thalavedana (തലവേദന) vannu.",1
"The pharmacist gave me Amoxicillin without a prescription.",0
"Got hives and extreme itching right after the penicillin injection.",1
"Cetirizine lene se neend bohot aati hai but allergy theek ho jati hai.",1
"Atorvastatin is working well to control my cholesterol.",0
"My chest feels incredibly tight after taking Azithromycin.",1
"Ciplox lagane ke baad aankh mein jalan (burning) ho rahi hai.",1
"Is Crocin safe during pregnancy?",0
"Pantoprazole gives me terrible gas and bloating.",1
"Dolo 650 is a lifesaver during viral flu.",0
"Aspirin lene ke baad se mere pet mein bleeding start ho gayi.",1
"I don't like taking allopathic medicines at all.",0
"Omeprazole gave me the worst headache of my life.",1
"Paracetamol saaptu sori (சொறி) vandhudchu.",1
"Metformin is the first-line treatment for Type 2 Diabetes.",0
"Ibuprofen made my blood pressure spike dangerously high.",1
"Azithromycin is a strong antibiotic.",0
"Crocin khake ulti jaisa lag raha hai.",1
"Can I drink alcohol if I took Dolo 650 this morning?",0
"Atorvastatin caused severe muscle weakness in my legs.",1
"Amoxicillin course completed, infection is fully gone.",0
"Cetirizine thondai varatchi (dry throat) aakuthu.",1
"I read that Paracetamol can cause liver damage if overdosed.",0
"Pantoprazole took away my acid reflux but gave me diarrhea.",1
"Got a minor cut on my finger, put some Ciplox cream on it.",0
"Aspirin gives me severe heartburn every single time.",1
"Dolo 650 se mera headache gayab.",0
"Ever since taking Metformin, I feel nauseous all morning.",1
"Is Azithromycin good for a viral sore throat?",0
"Crocin side effect nahi karti mujhe.",0
"My lips started swelling wildly after the Ibuprofen pill.",1
"Omeprazole acidity ke liye achi dawai hai.",0
"I experienced severe tremors and weakness from Lexapro.",1
"Paracetamol is easily available over the counter.",0
"Atorvastatin lene se mere pet mein bohot dard hai.",1
"Cetirizine is my go-to for dust allergies.",0
"Amoxicillin gave me a full-body yeast infection.",1
"Ciplox se aankh theek ho gayi, koi jalan nahi.",0
"Ibuprofen makes my stomach bleed, doctor told me to avoid it.",1
"Drinking warm water with honey helps my cough.",0
"Pantoprazole lene ke baad se chakkar aa rahe hain.",1
"Aspirin helps prevent blood clots in heart patients.",0
"Dolo 650 allergy! Got a massive rash on my back.",1
"Azithromycin 500mg taken for 3 days as prescribed.",0
"Crocin se fever kam nahi hua, par koi side effect bhi nahi.",0
"My face got red and itchy immediately after the Amoxicillin.",1
"Metformin works perfectly for my sugar levels, feeling energetic.",0
"If I take Ibuprofen on an empty stomach, I get severe cramps.",1
"Cetirizine drops made the baby very irritable and restless.",1
